Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation
Q1,IRLML0030TRPbF,TopLayer,IRLML0030TRPbF,78.15,50.7,270
U3,MCP2515-I/ST,TopLayer,MCP2515-I/ST,65,9.5,90
U4,SN65HVD230DR,TopLayer,SN65HVD230DR,79,17,360
C1,CL21B104KBCNFNC,TopLayer,C_0805,96.5,15.5,90
C2,CL21B104KBCNFNC,TopLayer,C_0805,91,13.5,360
C3,CL21B104KBCNFNC,TopLayer,C_0805,96.5,19,90
C4,CL21B104KBCNFNC,TopLayer,C_0805,92.5,21.5,180
C5,CL21C270JBANNNC,TopLayer,C_0805,70,15.5,270
C6,CL21B104KBCNFNC,TopLayer,C_0805,60,4.5,360
C7,CL21C270JBANNNC,TopLayer,C_0805,60,15.5,90
C8,CL21B104KBCNFNC,TopLayer,C_0805,79,12,360
D1,APT2012VBC/D,TopLayer,R_0805,83,15,90
D2,APT2012SECK/J3,TopLayer,R_0805,75,15,90
R1,RC0805FR-0710KL,TopLayer,R_0805,63.5,4.5,180
R2,RC0805FR-07100RL,TopLayer,R_0805,83,18.5,270
R3,RC0805FR-07100RL,TopLayer,R_0805,75,18.5,270
R4,RC0805FR-071KL,TopLayer,R_0805,76,22,360
U1,MAX3232ECUE+,TopLayer,MAX3232ECUE+,91,17.5,90
